Index,Title,URL,Time
197,Google Pressured on Racial Equity Audit After AI Ethics Collapse,https://www.bloomberg.com/news/articles/2021-04-27/google-pressured-on-racial-equity-audit-after-ai-ethics-collapse,2021-04-28 07:01:01
198,Deep Time study: French volunteers leave cave after 40 days in isolation,https://www.bbc.com/news/world-europe-56875801,2021-04-28 07:00:55
199,Farming robot kills 100k weeds per hour with lasers,https://www.freethink.com/articles/farming-robot,2021-04-28 07:00:41
200,Show HN: Shorts based learning app for programming concepts,https://play.google.com/store/apps/details?id=com.microideation.app,2021-04-28 07:00:29
201,SixtyFPS v0.0.6 GUI Toolkit: Now with IDE Support,https://sixtyfps.io/blog/v0.0.6-now-with-ide-support,2021-04-28 07:00:21
202,Why AI is harder than we think,https://arxiv.org/abs/2104.12871,2021-04-28 07:00:17
203,GCC 11.1 Released with C++ and optimization improvements,https://gcc.gnu.org/pipermail/gcc/2021-April/235922.html,2021-04-28 06:00:47
204,"On Social Media, American-Style Free Speech Is Dead",https://www.wired.com/story/on-social-media-american-style-free-speech-is-dead/,2021-04-28 06:00:34
205,Cheerleader’s Snapchat rant leads to ‘momentous’ Supreme Court case on speech,https://www.washingtonpost.com/politics/courts_law/supreme-court-cheerleader-first-amendment/2021/04/25/9d2ac1e2-9eb7-11eb-b7a8-014b14aeb9e4_story.html,2021-04-28 06:00:30
206,Show HN: Shorts based learning app for programming concepts,https://play.google.com/store/apps/details?id=com.microideation.app,2021-04-28 06:00:24
207,SixtyFPS v0.0.6 GUI Toolkit: Now with IDE Support,https://sixtyfps.io/blog/v0.0.6-now-with-ide-support,2021-04-28 06:00:19
208,Why AI is harder than we think,https://arxiv.org/abs/2104.12871,2021-04-28 06:00:14
209,Cheerleader’s Snapchat rant leads to ‘momentous’ Supreme Court case on speech,https://www.washingtonpost.com/politics/courts_law/supreme-court-cheerleader-first-amendment/2021/04/25/9d2ac1e2-9eb7-11eb-b7a8-014b14aeb9e4_story.html,2021-04-28 05:00:37
210,Apple to Ban Apps That Reward Users for Enabling App Tracking,https://www.macrumors.com/2021/04/27/apple-ban-apps-offer-rewards-for-att/,2021-04-28 05:00:24
211,Tool can make photos undetectable to facial recognition without ruining them,https://www.dailydot.com/debug/donotpay-photo-ninja-facial-recognition/,2021-04-28 05:00:24
212,The Real Reason McDonalds Ice Cream Machines Are Always Broken,https://www.youtube.com/watch?v=SrDEtSlqJC4,2021-04-28 04:02:21
213,Stop talking about AI ethics. It’s time to talk about power,https://www.technologyreview.com/2021/04/23/1023549/kate-crawford-atlas-of-ai-review/,2021-04-28 04:02:21
214,Hasbro Unveils $700 Self-Transforming Optimus Prime Robot,https://kotaku.com/hasbro-unveils-700-self-transforming-optimus-prime-rob-1846650442,2021-04-28 04:02:15
215,"Show HN: AI2-THOR, 3D Physics Simulation Framework for Training AI Agents",https://github.com/allenai/ai2thor,2021-04-28 04:02:04
216,Ottawa's move to regulate video posts on YouTube called 'assault' on free speech,https://nationalpost.com/news/politics/ottawas-move-to-regulate-video-posts-on-youtube-and-social-media-called-assault-on-free-speech,2021-04-28 04:01:43
217,AMD Ryzen Processor Software Optimization [video],https://www.youtube.com/watch?v=2p-UpVc1qZQ,2021-04-28 04:01:32
218,Probing Deep Space with a New Interstellar Spacecraft,https://scitechdaily.com/probing-deep-space-with-a-new-interstellar-spacecraft/,2021-04-28 04:01:21
